summary,abstract
"we use the coset construction of low-energy effective actions to
systematically derive wess-zumino (wz) terms for fluid and isotropic solid
systems in two, three and four spacetime dimensions. we recover the known wz
term for fluids in two dimensions as well as the very recently found wz term
for fluids in three dimensions. we find two new wz terms for supersolids that
have not previously appeared in the literature. in addition, by relaxing
certain assumptions about the symmetry group of fluids we find a number of new
wz terms for fluids with and without charge, in all dimensions. we find no wz
terms for solids and superfluids.
","wess-zumino terms for relativistic fluids, superfluids, solids, and
  supersolids"
"the present paper deals with a two-fluid model for the flow of jeffrey fluid
in tubes of small diameters. it is assumed that the core region consists of
jeffrey fluid and newtonian fluid in the peripheral region. analytical
expressions for velocity, effective viscosity, core hematocrit and mean
hematocrit have been derived. the effects of various parameters, namely,
jeffrey parameter ({\lambda}1), tube hematocrit (h0) and tube radius (a) on
effective viscosity, core hematocrit and mean hematocrit have been studied. it
is found that the effective viscosity decreases as the jeffrey parameter
increases but increases with tube hematocrit and tube radius. further, the core
hematocrit decreases with jeffrey parameter, tube hematocrit and tube radius.
it is also noticed that the flow exhibits the anomalous fahraeus-lindquist
effect.
",flow of jeffrey fluid through narrow tubes
"the dynamics of singularity formation on the interface between two ideal
fluids is studied for the kelvin-helmholtz instability development within the
hamiltonian formalism. it is shown that the equations of motion derived in the
small interface angle approximation (gravity and capillary forces are
neglected) admit exact solutions in the implicit form. the analysis of these
solutions shows that, in the general case, weak root singularities are formed
on the interface in a finite time for which the curvature becomes infinite,
while the slope angles remain small. for atwood numbers close to unity in
absolute values, the surface curvature has a definite sign correlated with the
boundary deformation directed towards the light fluid. for fluids with
comparable densities, the curvature changes its sign in a singular point. in
the particular case of fluids with equal densities, the obtained results are
consistent with those obtained by moore based on the birkhoff-rott equation
analysis.
","singularity formation on a fluid interface during the kelvin-helmholtz
  instability development"
"we present results of direct numerical simulation of incompressible fluid
flow over a thick bed of mobile, spherically-shaped particles. the algorithm is
based upon the immersed boundary technique for fluid-solid coupling and uses a
soft-sphere model for the solid-solid contact. two parameter points in the
laminar flow regime are chosen, leading to the emergence of sediment patterns
classified as `small dunes', while one case under turbulent flow conditions
leads to `vortex dunes' with significant flow separation on the lee side.
wavelength, amplitude and propagation speed of the patterns extracted from the
spanwise-averaged fluid-bed interface are found to be consistent with available
experimental data. the particle transport rates are well represented by
available empirical models for flow over a plane sediment bed in both the
laminar and the turbulent regimes.
",direct numerical simulation of pattern formation in subaqueous sediment
"we study transport properties of a parity-odd, non-relativistic charged fluid
in presence of background electric and magnetic fields. to obtain stress tensor
and charged current for the non-relativistic system we start with the most
generic relativistic fluid, living in one higher dimension and reduce the
constituent equations along the light-cone direction. we also reduce the
equation satisfied by the entropy current of the relativistic theory and obtain
a consistent entropy current for the non-relativistic system (we call it
""canonical form"" of the entropy current). demanding that the non-relativistic
fluid satisfies the second law of thermodynamics we impose constraints on
various first order transport coefficients. for parity even fluid, this is
straight forward; it tells us positive definiteness of different transport
coefficients like viscosity, thermal conductivity, electric conductivity etc.
however for parity-odd fluid, canonical form of the entropy current fails to
confirm the second law of thermodynamics. therefore, we need to add two
parity-odd vectors to the entropy current with arbitrary coefficients. upon
demanding the validity of second law, we see that one can fix these two
coefficients exactly.
",entropy current for non-relativistic fluid
"the rheological properties of suspensions of bubbles in yield stress fluids
are investigated through experiments on model systems made of monodisperse
bubbles dispersed in concentrated emulsions. thanks to this highly tunable
system, the bubble size and the rheological properties of the suspending yield
stress fluid are varied over a wide range. we show that the macroscopic
response under shear of the suspensions depends on the gas volume fraction and
the bubble stiffness in the suspending fluid. this relative stiffness can be
quantified through capillary numbers comparing the capillary pressure to stress
scales associated with the rheological properties of the suspending fluid. we
demonstrate that those capillary numbers govern the decrease of the elastic and
loss moduli, the absence of variation of the yield stress and the increase of
the consistency with the gas volume fraction, for the investigated range of
capillary numbers. micro-mechanical estimates are consistent with the
experimental data and provide insight on the experimental results.
",rheological behaviour of suspensions of bubbles in yield stress fluids
"the problem of determining the manner in which an incoming acoustic wave is
scattered by an elastic body immersed in a fluid is one of central importance
in detecting and identifying submerged objects. the problem is generally
referred to as a fluid-structure interaction and is mathematically formulated
as a time-dependent transmission problem. in this paper, we consider a typical
fluid-structure interaction problem by using a coupling procedure which reduces
the problem to a nonlocal initial-boundary problem in the elastic body with a
system of integral equations on the interface between the domains occupied by
the elastic body and the fluid. we analyze this nonlocal problem by the lubich
approach via the laplace transform, an essential feature of which is that it
works directly on data in the time domain rather than in the transformed
domain. our results may serve as a mathematical foundation for treating
time-dependent fluid-structure interaction problems by convolution quadrature
coupling of fem and bem.
",time-dependent fluid-structure interaction
"metallic fluid h has been made by dynamic compression decades after wigner
and huntington (wh) predicted its existence in 1935. the density obtained
experimentally is within a few percent of the density predicted by wh. metallic
fluid h was achieved by multiple-shock compression of liquid h2, which
compression is quasi-isentropic and h is thermally equilibrated in experiments
with 100 ns lifetimes. quasi-isentropic means compressions are isentropic but
with sufficient temperature and entropy to drive a crossover from liquid h2 to
degenerate fluid h at 9-fold compression and pressure p=140 gpa (1.4 mbar). the
metallic fluid is highly degenerate: t/tf 0.014, where temperature t=3000 k and
fermi temperature tf =220,000 k, respectively, at metallization density 0.64
mol h/cm3.
  dynamic compression is achieved by supersonic, adiabatic, nonlinear
hydrodynamics, the basic ideas of which were developed in the nineteenth
century in european universities. today dynamic compression is generally
unfamiliar to the scientific community. the purposes of this paper are to
present a brief review of (i) dynamic compression and its affects on materials,
(ii) considerations that led to the sample holder designed specifically to make
metallic fluid h, and (iii) an inter-comparison of dynamic and static
compression with respect to making metallic h.
",dynamic high pressure: why it makes metallic fluid hydrogen
"the quantum theory of fields is largely based on studying perturbations
around non-interacting, or free, field theories, which correspond to a
collection of quantum-mechanical harmonic oscillators. the quantum theory of an
ordinary fluid is `freer', in the sense that the non-interacting theory also
contains an infinite collection of quantum-mechanical free particles,
corresponding to vortex modes. by computing a variety of correlation functions
at tree- and loop-level, we give evidence that a quantum perfect fluid can be
consistently formulated as a low-energy, effective field theory. we speculate
that the quantum behaviour is radically different to both classical fluids and
quantum fields, with interesting physical consequences for fluids in the low
temperature regime.
",quantum field theory of fluids
"the energy required to detach a single particle from a fluid-fluid interface
is an important parameter for designing certain soft materials, for example,
emulsions stabilised by colloidal particles, colloidosomes designed for
targeted drug delivery, and bio-sensors composed of magnetic particles adsorbed
at interfaces. for a fixed particle volume, prolate and oblate spheroids attach
more strongly to interfaces because they have larger particle-interface areas.
calculating the detachment energy of spheroids necessitates the difficult
measurement of particle-liquid surface tensions, in contrast with spheres,
where the contact angle suffices. we develop a simplified detachment energy
model for spheroids which depends only on the particle aspect ratio and the
height of the particle centre of mass above the fluid-fluid interface. we use
lattice boltzmann simulations to validate the model and provide quantitative
evidence that the approach can be applied to simulate particle-stabilized
emulsions, and highlight the experimental implications of this validation.
",detachment energies of spheroidal particles from fluid-fluid interfaces
"when a fluid is pumped into a cavity in a confined elastic layer, at a
critical pressure, destabilizing fingers of fluid invade the elastic solid
along its meniscus (saintyves, dauchot, and bouchaud, 2013). these fingers
occur without fracture or loss of adhesion and are reversible, disappearing
when the pressure is decreased. we develop an asymptotic theory of pressurized
highly elastic layers trapped between rigid bodies to explain these
observations, with predictions for the critical fluid pressure for fingering,
and the finger wavelength. we also show that the theory links this fluid-driven
fingering with a similar transition driven instead by transverse stretching of
the elastic layer. we further verify these predictions by using finite-element
simulations on the two systems which show that, in both cases, the fingering
transition is first-order (sudden) and hence has a region of bistability. our
predictions are in good agreement with recent observations of this elastic
analog of the classical saffman-taylor interfacial instability in
hydrodynamics.
",fluid driven fingering instability of a confined elastic meniscus
"modelling sediment transport in environmental turbulent fluids is a
challenge. this article develops a sound model of the lateral transport of
suspended sediment in environmental fluid flows such as floods and tsunamis.
the model is systematically derived from a 3d turbulence model based on the
smagorinski large eddy closure. embedding the physical dynamics into a family
of problems and analysing linear dynamics of the system, centre manifold theory
indicates the existence of slow manifold parametrised by macroscale variables.
computer algebra then constructs the slow manifold in terms of fluid depth,
depth-averaged lateral velocities, and suspended sediment concentration. the
model includes the effects of sediment erosion, advection, dispersion, and also
the interactions between the sediment and turbulent fluid flow. vertical
distributions of the velocity and concentration in steady flow agree with the
established experimental data. numerical simulations of the suspended sediment
under large waves show that the developed model predicts physically reasonable
phenomena.
",modelling suspended sediment in environmental turbulent fluids
"we use extensive computer simulations to probe local thermodynamic
equilibrium (lte) in a quintessential model fluid, the two-dimensional
hard-disks system. we show that macroscopic lte is a property much stronger
than previously anticipated, even in the presence of important finite size
effects, revealing a remarkable bulk-boundary decoupling phenomenon in fluids
out of equilibrium. this allows us to measure the fluid's equation of state in
simulations far from equilibrium, with an excellent accuracy comparable to the
best equilibrium simulations. subtle corrections to lte are found in the
fluctuations of the total energy which strongly point out to the nonlocality of
the nonequilibrium potential governing the fluid's macroscopic behavior out of
equilibrium.
",probing local equilibrium in nonequilibrium fluids
"when two liquid drops touch, a microscopic connecting liquid bridge forms and
rapidly grows as the two drops merge into one. whereas coalescence has been
thoroughly studied when drops coalesce in vacuum or air, many important
situations involve coalescence in a dense surrounding fluid, such as oil
coalescence in brine. here we study the merging of gas bubbles and liquid drops
in an external fluid. our data indicate that the flows occur over much larger
length scales in the outer fluid than inside the drops themselves. thus we find
that the asymptotic early regime is always dominated by the viscosity of the
drops, independent of the external fluid. a phase diagram showing the
crossovers into the different possible late-time dynamics identifies a
dimensionless number that signifies when the external viscosity can be
important.
",coalescence of bubbles and drops in an outer fluid
"in the above paper the authors treat the boundary layer flow along a
stationary, vertical, permeable, flat plate within a vertical free stream.
fluid is sucked or injected through the vertical plate. the fluid species
concentration at the plate is constant and different from that of the ambient
fluid. it is also assumed that the plate is heated by convection from another
fluid with constant temperature with a constant heat transfer coefficient. the
temperature and species concentration difference between the plate and the
ambient fluid creates buoyancy forces and the flow is characterized as mixed
convection. the partial differential equations of the boundary layer flow (eqs.
1-4 in their paper) are transformed and subsequently are solved numerically
using an implicit finite difference scheme in combination with a
quasi-linearization technique. the quasi-linearization technique is a
newton-raphson method. the results are presented in 12 figures.
","comment on influence of convective boundary condition on double
  diffusive mixed convection from a permeable vertical surface, by p.m. patil,
  e. momoniat, s. roy, international journal of heat and mass transfer, 70
  (2014) 313-321"
"the behavior of a confined spherical symmetric anomalous fluid under high
external pressure was studied with molecular dynamics simulations. the fluid is
modeled by a ore-softened potential with two characteristic length scales,
which in bulk reproduces the dynamical, thermodynamical and structural
anomalous behavior observed for water and other anomalous fluids. our findings
show that this system has a superdiffusion regime for sufficient high pressure
and low temperature. as well, our results indicate hat this superdiffusive
regime is strongly related with the fluid structural properties and the
superdiffusion to diffusion transition is a first order phase transition. we
show how the simulation time and statistics are important to obtain the correct
dynamical behavior of the confined fluid. our results are discussed in the
basis of the two length scales.
","high pressure induced phase transition and superdiffusion in anomalous
  fluid confined in flexible nanopores"
"in the past decade the volvocine green algae, spanning from the unicellular
$chlamydomonas$ to multicellular $volvox$, have emerged as model organisms for
a number of problems in biological fluid dynamics. these include flagellar
propulsion, nutrient uptake by swimming organisms, hydrodynamic interactions
mediated by walls, collective dynamics and transport within suspensions of
microswimmers, the mechanism of phototaxis, and the stochastic dynamics of
flagellar synchronization. green algae are well suited to the study of such
problems because of their range of sizes (from 10 $\mu$m to several
millimetres), their geometric regularity, the ease with which they can be
cultured and the availability of many mutants that allow for connections
between molecular details and organism-level behavior. this review summarizes
these recent developments and highlights promising future directions in the
study of biological fluid dynamics, especially in the context of evolutionary
biology, that can take advantage of these remarkable organisms.
",green algae as model organisms for biological fluid dynamics
"we introduce an eulerian approach for problems involving one or more soft
solids immersed in a fluid, which permits mechanical interactions between all
phases. the reference map variable is exploited to simulate finite-deformation
constitutive relations in the solid(s) on the same fixed grid as the fluid
phase, which greatly simplifies the coupling between phases. our coupling
procedure, a key contribution in the current work, is shown to be
computationally faster and more stable than an earlier approach, and admits the
ability to simulate both fluid--solid and solid--solid interaction between
submerged bodies. the interface treatment is demonstrated with multiple
examples involving a weakly compressible navier--stokes fluid interacting with
a neo-hookean solid, and we verify the method's convergence. the solid contact
method, which exploits distance-measures already existing on the grid, is
demonstrated with two examples. a new, general routine for cross-interface
extrapolation is introduced and used as part of the new interfacial treatment.
","eulerian method for multiphase interactions of soft solid bodies in
  fluids"
"the equilibrium density of fluids under nanoconfinement can differ
substantially from their bulk density. using a mean-field approach to describe
the energetic landscape near the carbon nanotube (cnt) wall, we obtain
analytical results describing the lengthscales associated with the layering
observed at the fluid-cnt interface. when combined with molecular simulation
results for the fluid density in the layered region, this approach allows us to
derive a closed-form prediction for the overall equilibrium fluid density as a
function of the cnt radius that is in excellent agreement with molecular
dynamics simulations. we also show how aspects of this theory can be extended
to describe water confined within cnts and find good agreement with results
from the literature.
",why are fluid densities so low in carbon nanotubes?
"the displacement of a more viscous fluid by a less viscous one in a quasi-two
dimensional geometry leads to the formation of complex fingering patterns. this
fingering has been characterized by a most unstable wavelength, $\lambda_c$,
which depends on the viscosity difference between the two immiscible fluids and
sets the characteristic width of the fingers. how the finger length grows after
the instability occurs is an equally important, but previously overlooked,
aspect that characterizes the global features of the patterns. as the lower
viscosity fluid is injected, we show that there is a stable inner region where
the outer fluid is completely displaced. the ratio of the finger length to the
radius of this stable region depends only on the viscosity ratio of the fluids
and is decoupled from $\lambda_c$.
","an island of stability in a sea of fingers: emergent large-scale
  features of the viscous flow instability"
"several deterministic and stochastic multi-variable global optimization
algorithms (conjugate gradient, nelder-mead, quasi-newton, and global) are
investigated in conjunction with energy minimization principle to resolve the
pressure and volumetric flow rate fields in single ducts and networks of
interconnected ducts. the algorithms are tested with seven types of fluid:
newtonian, power law, bingham, herschel-bulkley, ellis, ree-eyring and casson.
the results obtained from all those algorithms for all these types of fluid
agree very well with the analytically derived solutions as obtained from the
traditional methods which are based on the conservation principles and fluid
constitutive relations. the results confirm and generalize the findings of our
previous investigations that the energy minimization principle is at the heart
of the flow dynamics systems. the investigation also enriches the methods of
computational fluid dynamics for solving the flow fields in tubes and networks
for various types of newtonian and non-newtonian fluids.
","deterministic and stochastic algorithms for resolving the flow fields in
  ducts and networks using energy minimization"
"here we compare two extreme regimes of non-suspended fluid-mediated particle
transport, transport in light and heavy fluids (""saltation"" and ""bedload"",
respectively), regarding their particle fluctuation energy balance. from direct
numerical simulations, we surprisingly find that the ratio between collisional
and fluid drag dissipation of fluctuation energy is significantly larger in
saltation than in bedload, even though the contribution of interparticle
collisions to transport of momentum and energy is much smaller in saltation due
to the low concentration of particles in the transport layer. we conclude that
the much higher frequency of high-energy particle-bed impacts (""splash"") in
saltation is the cause for this counter-intuitive behavior. moreover, from a
comparison of these simulations to particle tracking velocimetry measurements
which we performed in a wind tunnel under steady transport of fine and coarse
sand, we find that turbulent fluctuations of the flow produce particle
fluctuation energy at an unexpectedly high rate in saltation even under
conditions for which the effects of turbulence are usually believed to be
small.
","the fluctuation energy balance in non-suspended fluid-mediated particle
  transport"
"the general properties of a perfect relativistic fluid resulting from the
quantum gravitational anomaly are investigated. it is found that, in the limit
of a weak gravitational field, this fluid possesses a polytropic equation of
state characterized by two universal constants: the polytropic constant and the
natural polytropic index. based on the astrophysical data, the estimates for
the polytropic constant are given. it is shown that this fluid can describe a
considerable part of the cold dark matter. the quantum theory of such a fluid
is constructed in the framework of the background field method. the ward
identities associated with the entropy and vorticity conservation laws are
derived. the leading gradient corrections to the pressure of the perfect fluid
are found and the restrictions on their form are obtained. these restrictions
guarantee, in particular, the absence of ghosts in the model. the second order
nonlinear corrections to the equations of motion of a perfect relativistic
fluid are analyzed and the explicit expressions for the transverse and
longitudinal perturbations induced by a sufficiently strong sound wave are
obtained. a dynamical solution to the problem of time in quantum gravity is
proposed.
",quantum gravitational anomaly as a dark matter
"we study anomalous charged fluid in $2n$-dimensions ($n\geq 2$) up to
sub-leading derivative order. only the effect of gauge anomaly is important at
this order. using the euclidean partition function formalism, we find the
constraints on different sub-leading order transport coefficients appearing in
parity-even and odd sectors of the fluid. we introduce a new mechanism to count
different fluid data at arbitrary derivative order. we show that only the
knowledge of independent scalar-data is sufficient to find the constraints. in
appendix we further extend this analysis to obtain fluid data at
sub-sub-leading order (where both gauge and gravitational anomaly contribute)
for parity-odd fluid.
",higher derivative corrections to charged fluids in 2n dimensions
"in collisional fluids, a number of key processes rely on the frequency of
binary collisions. collisions seem necessary to generate a shock wave when two
fluids collide fast enough, to fulfill the rankine-hugoniot relations, to
establish an equation of state or a maxwellian distribution. yet, these
seemingly collisional features are routinely either observed or assumed, in
relation with collision\emph{less} astrophysical plasmas. this article will
review our current answers to the following questions: how do colliding
collisionless plasmas end-up generating a shock as if they were fluids? to
which extent are the rankine-hugoniot relations fulfilled in this case? do
collisionless shocks propagate like fluid ones? can we use an equation of state
to describe collisionless plasmas, like mhd codes for astrophysics do? why are
maxwellian distributions ubiquitous in particle-in-cell simulations of
collisionless shocks? time and length scales defining the border between the
collisional and the collisionless behavior will be given when relevant. in
general, when the time and length scales involved in the collisionless
processes responsible for the fluid-like behavior may be neglected, the system
may be treated like a fluid.
",collisional behaviors of astrophysical collisionless plasmas
"explicit analytical expressions for the drag and diffusion coefficients of a
spherical particle attached to the interface between two immiscible fluids are
constructed for the case of a small viscosity ratio between the fluid phases.
the model is designed to explicitly account for the dependence on the contact
angle between the two fluids and the solid surface. the lorentz reciprocal
theorem is applied in the context of a geometric perturbation approach, which
is based on the deviation of the contact angle from a 90{\deg}-value. by
testing the model against experimental and numerical data from the literature,
good agreement is found within the entire range of contact angles below
90{\deg}. as an advantage of the method reported, the drag and diffusion
coefficients can be calculated up to second order in the perturbation
parameter, while it is sufficient to know the velocity and pressure fields only
up to first order. extensions to other particle shapes with known velocity and
pressure fields are straightforward.
","drag and diffusion coefficients of a spherical particle attached to a
  fluid interface"
"we extend the transfer matrix method of one-dimensional hard core fluids
placed between confining walls for that case where the particles can pass each
other and at most two layers can form. we derive an eigenvalue equation for a
quasi-one-dimensional system of hard squares confined between two parallel
walls, where the pore width is between $\sigma$ and $3\sigma$ ( $\sigma$ is the
side length of the square). the exact equation of state and the nearest
neighbour distribution functions show three different structures: a fluid phase
with one layer, a fluid phase with two layers and a solid-like structure where
the fluid layers are strongly correlated. the structural transition between
differently ordered fluids develops continuously with increasing density, i.e.
no thermodynamic phase transition occurs. the high density structure of the
system consists of clusters with two layers which are broken with particles
staying in the middle of the pore.
","beyond the single-file fluid limit using transfer matrix method: exact
  results for confined parallel hard squares"
"we extend our study of all-order linearly resummed hydrodynamics in a flat
space~\cite{1406.7222,1409.3095} to fluids in weakly curved spaces. the
underlying microscopic theory is a finite temperature $\mathcal{n}=4$
super-yang-mills theory at strong coupling. the ads/cft correspondence relates
black brane solutions of the einstein gravity in asymptotically \emph{locally}
$\textrm{ads}_5$ geometry to relativistic conformal fluids in a weakly curved
4d background. to linear order in the amplitude of hydrodynamic variables and
metric perturbations, the fluid's energy-momentum tensor is computed with
derivatives of both the fluid velocity and background metric resummed to all
orders. we extensively discuss the meaning of all order hydrodynamics by
expressing it in terms of the memory function formalism, which is also suitable
for practical simulations. in addition to two viscosity functions discussed at
length in refs.~\cite{1406.7222,1409.3095}, we find four curvature induced
structures coupled to the fluid via new transport coefficient functions. in
ref.~\cite{0905.4069}, the latter were referred to as gravitational
susceptibilities of the fluid. we analytically compute these coefficients in
the hydrodynamic limit, and then numerically up to large values of momenta.
",linearly resummed hydrodynamics in a weakly curved spacetime
"recent theoretical and experimental investigations have demonstrated the role
of certain invariant manifolds, termed burning invariant manifolds (bims), as
one-way dynamical barriers to reaction fronts propagating within a flowing
fluid. these barriers form one-dimensional curves in a two-dimensional fluid
flow. in prior studies, the fluid velocity field was required to be either
time-independent or time-periodic. in the present study, we develop an approach
to identify prominent one-way barriers based only on fluid velocity data over a
finite time interval, which may have arbitrary time-dependence. we call such a
barrier a burning lagrangian coherent structure (blcs) in analogy to lagrangian
coherent structures (lcss) commonly used in passive advection. our approach is
based on the variational formulation of lcss using curves of stationary
""lagrangian shear"", introduced by farazmand, blazevski, and haller [physica d
278-279, 44 (2014)] in the context of passive advection. we numerically
validate our technique by demonstrating that the blcs closely tracks the bim
for a time-independent, double-vortex channel flow with an opposing ""wind"".
",finite-time barriers to front propagation in two-dimensional fluid flows
"we study an unsteady non linear fluid-structure interaction problem which is
a simplified model to describe blood flow through viscoleastic arteries. we
consider a newtonian incompressible two-dimensional flow described by the
navier-stokes equations set in an unknown domain depending on the displacement
of a structure, which itself satisfies a linear viscoelastic beam equation. the
fluid and the structure are fully coupled via interface conditions prescribing
the continuity of the velocities at the fluid-structure interface and the
action-reaction principle. we prove that strong solutions to this problem are
global-in-time. we obtain in particular that contact between the viscoleastic
wall and the bottom of the fluid cavity does not occur in finite time. to our
knowledge, this is the first occurrence of a no-contact result, but also of
existence of strong solutions globally in time, in the frame of interactions
between a viscous fluid and a deformable structure.
",existence of global strong solutions to a beam-fluid interaction system
"we consider the time evolution of a dilute atomic fermi gas after release
from a trapping potential. a common difficulty with using fluid dynamics to
study the expansion of the gas is that the theory is not applicable in the
dilute corona, and that a naive treatment of the entire cloud using fluid
dynamics leads to unphysical results. we propose to remedy this problem by
including certain non-hydrodynamic degrees of freedom, in particular
anisotropic components of the pressure tensor, in the theoretical description.
we show that, using this method, it is possible to describe the crossover from
fluid dynamics to ballistic expansion locally. we illustrate the use of
anisotropic fluid dynamics by studying the expansion of the dilute fermi gas at
unitarity using different functional forms of the shear viscosity, including a
shear viscosity which is solely a function of temperature, $\eta\sim
(mt)^{3/2}$, as predicted by kinetic theory in the dilute limit.
","dissipative fluid dynamics for the dilute fermi gas at unitarity:
  anisotropic fluid dynamics"
"cosmological fluids are commonly assumed to be distributed in a spatially
homogeneous way, while their internal properties are described by a perfect
fluid. as such, they influence the hubble-expansion through their respective
densities and equation of state parameters. the subject of this paper is an
investigation of the fluid-mechanical properties of a dark energy fluid, which
is characterised by its sound speed and its viscosity apart from its equation
of state. in particular, we compute the predicted spectra for the integrated
sachs-wolfe effect for our generalised fluid, and compare them with the
corresponding predictions for weak gravitational lensing and galaxy clustering,
which had been computed in previous work. we perform statistical forecasts and
show that the integrated sachs-wolfe signal obtained by cross correlating
euclid galaxies with planck temperatures, when joined to galaxy clustering and
weak lensing observations, yields a percent sensitivity on the dark energy
sound speed and viscosity. we prove that the isw effect provides strong
degeneracy breaking for low sound speeds and large differences between the
sound speed and viscosity parameters.
","combined constraints on deviations of dark energy from an ideal fluid
  from euclid and planck"
"it was showed by perez and rovelli in 2006 that the holst action in gravity
with torsion with massless and minimally coupling dirac fermions gives rise to
the four-fermion coupling term, whose coefficient is a function of the
barbero-immirzi (bi) parameter. this parameter is present in the holst action,
which is an object of investigation in a non-perturbative formalism of quantum
gravity. the key feature is the torsion because its absence implies no effect
from holst term in dynamical equations. in this paper we consider a spin fluid
(also called weyssenhoff fluid), which is a perfect fluid that has intrinsic
spin. we study the host action in gravity with torsion and spin fluid, and we
include, for completeness, minimaly coupling massive fermions.we find the
equivalent action containing the same four-fermion interaction term previously
calculated by perez and rovelli without the spin fluid, also the quadratic spin
tensor term and finally an interaction term between the axial current and the
spin tensor, which can be relevant for new effects and features in cosmology.
in all three cases, the dependence on bi parameter is the same.
","on the action for weyssenhoff spin fluid and the barbero-immirzi
  parameter"
"moment closures of the vlasov-amp{\`e}re system, whereby higher moments are
represented as functions of lower moments with the constraint that the
resulting fluid system remains hamiltonian, are investigated by using water-bag
theory. the link between the water-bag formalism and fluid models that involve
density, fluid velocity, pressure and higher moments is established by
introducing suitable thermodynamic variables. the cases of one, two and three
water-bags are treated and their hamiltonian structures are provided. in each
case, we give the associated fluid closures and we discuss their casimir
invariants. we show how the method can be extended to an arbitrary number of
fields, i.e., an arbitrary number of water-bags and associated moments. the
thermodynamic interpretation of the resulting models is discussed. finally, a
general procedure to derive hamiltonian n-field fluid models is proposed.
","hamiltonian fluid closures of the vlasov-amp{è}re equations: from
  water-bags to n moment models"
"capillary interactions have emerged as a tool for the directed assembly of
particles adsorbed at fluid-fluid interfaces, and play a role in controlling
the mechanical properties of emulsions and foams. in this paper, following
davies et al. [advanced materials, 26, 6715 (2014)] investigation into the
assembly of ellipsoidal particles at interfaces interacting via dipolar
capillary interactions, we numerically investigate the interaction between
tilted ellipsoidal particles adsorbed at a fluid-fluid interface as their
aspect ratio, tilt angle, bond angle, and separation vary. high-resolution
surface evolver simulations of ellipsoidal particle pairs in contact reveal an
energy barrier between a metastable tip-tip configuration and a stable
side-side configuration. the side-side configuration is the global energy
minimum for all parameters we investigated. lattice boltzmann simulations of
clusters of up to 12 ellipsoidal particles show novel highly symmetric
flower-like and ring-like arrangements.
","dipolar capillary interactions between tilted ellipsoidal particles
  adsorbed at fluid-fluid interfaces"
"the problem of the gas-liquid heterophase fluctuations of a fluid within the
critical and supercritical regions is revisited. to describe the thermodynamics
and structure of the heterophase fluid, the mesoscopic equation of state is
deduced. the mesoscopic scale is connected with the sizes of the mixed bubbles
and droplets (g-fluctuons and l-fluctuons). the two-component order parameter
of the heterophase fluid describes the gas-like and liquid-like fractions. its
interconnection with the van der waals order parameter is ascertained. the
non-symmetric ising-type equation of state of the heterophase fluid is analyzed
using the standard methods. the manifestations of the mesoscopic effects in the
structural and thermodynamic properties of the fluid are investigated. the
domain of applicability of a classical model is found using the mesoscopic
ornstein-zernike equation. the asymmetry and non-analyticity of the diameter of
the phase coexistence curve is researched. it is shown that that the critical
non-analyticity of the diameter is induced by the mesoscopic heterophase
fluctuations. the percolation thresholds of the droplets and bubbles in the
critical and supercritical fluid are determined. on the phase diagrams they
bound the domains of applicability of the droplet model.
",heterophase fluctuations at the gas-liquid phase transition
"the paper presents a solution for axisymmetric propagation of a penny-shaped
crack driven by a thinning fluid. the solution to the accuracy of four
significant digits, at least, is obtained on the basis of the modified
formulation of hydraulic fracture problem by employing the particle velocity,
rather than conventionally used flux. this serves to properly organize
iterations in the opening after reducing the problem to the self-similar form.
numerical results obtained show relatively small dependence of self-similar
quantities (fracture radius, propagation speed, opening, particle velocity,
pressure, flux) on the behavior index of a thinning fluid. the results provide
bench marks for the accuracy control of truly 3d simulators and they serve for
assigning an apparent viscosity when simulating the action of a thinning fluid
by replacing it with an equivalent newtonian fluid.
","bench-mark solution for a penny-shaped hydraulic fracture driven by a
  thinning fluid"
"many microorganisms find themselves immersed in fluids displaying
non-newtonian rheological properties such as viscoelasticity and shear-thinning
viscosity. the effects of viscoelasticity on swimming at low reynolds numbers
have already received considerable attention, but much less is known about
swimming in shear-thinning fluids. a general understanding of the fundamental
question of how shear-thinning rheology influences swimming still remains
elusive. to probe this question further, we study a spherical squirmer in a
shear-thinning fluid using a combination of asymptotic analysis and numerical
simulations. shear-thinning rheology is found to affect a squirming swimmer in
nontrivial and surprising ways; we predict and show instances of both faster
and slower swimming depending on the surface actuation of the squirmer. we also
illustrate that while a drag and thrust decomposition can provide insights into
swimming in newtonian fluids, extending this intuition to problems in complex
media can prove problematic.
",squirming through shear-thinning fluids
